services_id,rate_amount,service_type,rate_name,rate_category
2848,65.0,Servicing,Water supply,Standard tariffs
2270,70.0,Servicing,Heating,Standard tariffs
2174,71.0,Energy supply,Drainage,Individual tariffs
2440,87.6,Consulting,Water supply,Discounted rates
2480,62.1,Energy supply,Water supply,Economy tariffs
2333,83.0,Installation of equipment,Drainage,Tariffs for industry
2615,88.9,Energy supply,Water supply,Preferential tariffs
591,96.6,Installation of equipment,Electricity supply,Individual tariffs
2821,61.6,Servicing,Gas supply,Discounted rates
3994,61.2,Installation of equipment,Electricity supply,Individual tariffs
1364,72.3,Repair,Gas supply,Preferential tariffs
1691,59.9,Energy supply,Drainage,Standard tariffs
2733,93.4,Servicing,Electricity supply,Preferential tariffs
1244,77.6,Servicing,Electricity supply,Discounted rates
956,74.3,Servicing,Heating,Combined tariffs
586,90.2,Energy supply,Drainage,Combined tariffs
2998,87.4,Repair,Gas supply,Standard tariffs
1498,51.9,Energy supply,Water supply,Individual tariffs
2538,89.2,Servicing,Heating,Tariffs for industry
739,65.4,Energy supply,Water supply,Discounted rates
751,63.8,Repair,Heating,Tariffs for industry
3491,69.9,Servicing,Electricity supply,Discounted rates
501,71.4,Energy supply,Drainage,Individual tariffs
33,77.2,Servicing,Heating,Discounted rates
2502,64.7,Servicing,Electricity supply,Standard tariffs
2424,73.3,Energy supply,Gas supply,Combined tariffs
3462,68.1,Installation of equipment,Heating,Preferential tariffs
1389,75.5,Servicing,Drainage,Preferential tariffs
2609,64.4,Servicing,Drainage,Tariffs for industry
1005,67.9,Installation of equipment,Drainage,Discounted rates
2695,94.1,Repair,Electricity supply,Preferential tariffs
992,72.6,Energy supply,Electricity supply,Tariffs for industry
3938,55.2,Energy supply,Heating,Standard tariffs
2105,84.7,Energy supply,Drainage,Individual tariffs
3686,97.3,Installation of equipment,Electricity supply,Tariffs for industry
2314,93.6,Installation of equipment,Gas supply,Discounted rates
281,97.5,Repair,Drainage,Tariffs for industry
1158,79.6,Repair,Drainage,Preferential tariffs
3338,89.1,Repair,Gas supply,Economy tariffs
696,83.1,Repair,Heating,Preferential tariffs
944,71.3,Servicing,Water supply,Preferential tariffs
1053,95.5,Servicing,Electricity supply,Discounted rates
1507,55.0,Repair,Electricity supply,Standard tariffs
3517,60.9,Repair,Water supply,Tariffs for industry
444,64.0,Consulting,Electricity supply,Individual tariffs
3466,81.9,Servicing,Gas supply,Combined tariffs
1996,51.6,Consulting,Gas supply,Discounted rates
3663,52.8,Consulting,Gas supply,Preferential tariffs
241,50.4,Energy supply,Drainage,Individual tariffs
207,90.0,Energy supply,Heating,Discounted rates
1577,54.8,Energy supply,Heating,Preferential tariffs
313,73.6,Energy supply,Heating,Individual tariffs
3842,70.5,Servicing,Heating,Preferential tariffs
1923,84.2,Repair,Drainage,Standard tariffs
121,95.4,Consulting,Heating,Combined tariffs
2025,95.9,Servicing,Gas supply,Tariffs for industry
2663,73.6,Installation of equipment,Heating,Economy tariffs
3632,74.7,Installation of equipment,Electricity supply,Tariffs for industry
2751,99.5,Servicing,Heating,Preferential tariffs
3355,71.9,Repair,Heating,Individual tariffs
2278,74.5,Servicing,Electricity supply,Combined tariffs
331,55.1,Repair,Water supply,Preferential tariffs
1991,73.9,Installation of equipment,Gas supply,Individual tariffs
988,91.1,Consulting,Drainage,Discounted rates
1743,69.6,Consulting,Drainage,Individual tariffs
1250,86.9,Energy supply,Electricity supply,Discounted rates
1708,70.2,Consulting,Drainage,Discounted rates
2094,73.3,Installation of equipment,Water supply,Standard tariffs
849,51.4,Energy supply,Electricity supply,Economy tariffs
451,65.8,Energy supply,Water supply,Tariffs for industry
526,99.5,Consulting,Electricity supply,Tariffs for industry
582,67.8,Servicing,Electricity supply,Discounted rates
1004,72.4,Installation of equipment,Drainage,Standard tariffs
1727,91.2,Consulting,Gas supply,Combined tariffs
1846,92.8,Installation of equipment,Gas supply,Tariffs for industry
459,68.5,Servicing,Electricity supply,Tariffs for industry
1159,73.1,Installation of equipment,Gas supply,Individual tariffs
2553,81.3,Repair,Water supply,Combined tariffs
1432,79.9,Consulting,Electricity supply,Individual tariffs
3695,90.0,Energy supply,Heating,Economy tariffs
2543,51.0,Servicing,Heating,Individual tariffs
2533,96.4,Consulting,Gas supply,Economy tariffs
2578,70.2,Consulting,Electricity supply,Tariffs for industry
776,95.2,Servicing,Heating,Discounted rates
1460,51.8,Consulting,Electricity supply,Combined tariffs
3425,77.9,Installation of equipment,Heating,Standard tariffs
249,95.5,Consulting,Water supply,Discounted rates
2272,54.8,Installation of equipment,Electricity supply,Standard tariffs
23,71.6,Servicing,Electricity supply,Discounted rates
462,85.5,Installation of equipment,Electricity supply,Individual tariffs
3339,83.7,Repair,Drainage,Preferential tariffs
3805,89.6,Consulting,Drainage,Individual tariffs
556,59.2,Servicing,Water supply,Individual tariffs
1919,73.9,Repair,Electricity supply,Discounted rates
2643,99.2,Consulting,Heating,Combined tariffs
2346,56.2,Installation of equipment,Drainage,Individual tariffs
3122,61.1,Repair,Heating,Preferential tariffs
461,58.5,Consulting,Drainage,Preferential tariffs
524,55.3,Installation of equipment,Electricity supply,Economy tariffs
1810,73.1,Servicing,Water supply,Combined tariffs
1453,54.4,Installation of equipment,Heating,Combined tariffs
1768,77.1,Installation of equipment,Heating,Individual tariffs
1404,97.8,Servicing,Heating,Standard tariffs
3966,79.0,Repair,Electricity supply,Tariffs for industry
1571,79.0,Energy supply,Water supply,Tariffs for industry
1115,75.9,Consulting,Electricity supply,Standard tariffs
2749,82.9,Installation of equipment,Water supply,Individual tariffs
1427,68.6,Consulting,Gas supply,Standard tariffs
323,66.4,Servicing,Heating,Individual tariffs
135,56.5,Servicing,Drainage,Individual tariffs
1385,99.8,Consulting,Drainage,Preferential tariffs
2524,87.4,Servicing,Heating,Combined tariffs
2134,57.4,Consulting,Gas supply,Discounted rates
1687,75.7,Repair,Drainage,Individual tariffs
1762,54.8,Repair,Water supply,Economy tariffs
2541,58.1,Energy supply,Heating,Discounted rates
3525,65.5,Consulting,Water supply,Preferential tariffs
216,99.9,Consulting,Gas supply,Individual tariffs
841,84.2,Consulting,Drainage,Discounted rates
1292,77.5,Installation of equipment,Heating,Individual tariffs
2628,83.7,Consulting,Drainage,Preferential tariffs
721,54.6,Energy supply,Drainage,Tariffs for industry
2084,90.8,Installation of equipment,Electricity supply,Individual tariffs
216,50.7,Repair,Water supply,Preferential tariffs
2375,63.1,Installation of equipment,Electricity supply,Combined tariffs
488,55.6,Repair,Gas supply,Preferential tariffs
2212,58.2,Installation of equipment,Gas supply,Preferential tariffs
85,55.3,Repair,Drainage,Individual tariffs
2250,59.1,Energy supply,Drainage,Individual tariffs
865,93.8,Consulting,Gas supply,Individual tariffs
3358,95.4,Servicing,Water supply,Standard tariffs
1405,61.4,Servicing,Drainage,Individual tariffs
491,84.2,Installation of equipment,Gas supply,Preferential tariffs
969,67.6,Servicing,Water supply,Preferential tariffs
991,73.3,Servicing,Gas supply,Tariffs for industry
1797,54.4,Repair,Drainage,Standard tariffs
3088,99.4,Energy supply,Heating,Standard tariffs
1581,77.4,Installation of equipment,Gas supply,Individual tariffs
1961,74.9,Repair,Drainage,Economy tariffs
3088,78.3,Energy supply,Gas supply,Preferential tariffs
2962,60.7,Energy supply,Drainage,Economy tariffs
2713,90.4,Repair,Water supply,Standard tariffs
87,72.6,Servicing,Heating,Tariffs for industry
3513,65.2,Installation of equipment,Drainage,Preferential tariffs
2022,59.0,Consulting,Gas supply,Preferential tariffs
1815,59.3,Repair,Heating,Economy tariffs
1312,75.4,Repair,Electricity supply,Discounted rates
54,80.3,Consulting,Drainage,Economy tariffs
1310,91.5,Consulting,Drainage,Individual tariffs
461,66.1,Energy supply,Electricity supply,Preferential tariffs
1299,82.3,Energy supply,Gas supply,Discounted rates
1776,52.2,Installation of equipment,Electricity supply,Individual tariffs
3677,64.2,Repair,Drainage,Combined tariffs
3572,81.8,Energy supply,Heating,Tariffs for industry
730,85.8,Energy supply,Electricity supply,Standard tariffs
2215,56.2,Installation of equipment,Gas supply,Discounted rates
3625,61.0,Installation of equipment,Gas supply,Discounted rates
281,88.0,Consulting,Drainage,Individual tariffs
417,70.2,Installation of equipment,Water supply,Discounted rates
2773,54.6,Servicing,Heating,Economy tariffs
2993,71.1,Servicing,Drainage,Standard tariffs
1074,84.7,Consulting,Drainage,Combined tariffs
2055,62.0,Repair,Water supply,Standard tariffs
1776,53.6,Energy supply,Water supply,Preferential tariffs
387,86.4,Energy supply,Heating,Combined tariffs
858,69.1,Repair,Gas supply,Discounted rates
504,93.4,Repair,Electricity supply,Preferential tariffs
502,67.7,Energy supply,Electricity supply,Combined tariffs
3239,93.7,Repair,Electricity supply,Combined tariffs
3493,86.1,Repair,Water supply,Economy tariffs
11,94.9,Consulting,Heating,Standard tariffs
1810,78.2,Consulting,Water supply,Tariffs for industry
3937,82.4,Servicing,Heating,Individual tariffs
1609,67.7,Repair,Drainage,Discounted rates
3952,56.8,Energy supply,Heating,Preferential tariffs
343,65.4,Servicing,Gas supply,Preferential tariffs
1658,85.2,Consulting,Electricity supply,Tariffs for industry
2502,75.6,Consulting,Drainage,Economy tariffs
190,68.8,Servicing,Electricity supply,Economy tariffs
2686,69.1,Consulting,Electricity supply,Standard tariffs
3568,53.2,Energy supply,Water supply,Discounted rates
2864,70.8,Servicing,Gas supply,Tariffs for industry
1077,74.7,Repair,Gas supply,Combined tariffs
3850,51.8,Repair,Gas supply,Economy tariffs
2255,81.6,Consulting,Heating,Economy tariffs
2613,93.2,Repair,Electricity supply,Preferential tariffs
3334,99.3,Servicing,Drainage,Standard tariffs
2703,75.5,Servicing,Drainage,Combined tariffs
3929,91.0,Energy supply,Water supply,Discounted rates
2687,74.7,Servicing,Drainage,Individual tariffs
1901,58.6,Installation of equipment,Drainage,Standard tariffs
686,81.8,Servicing,Drainage,Tariffs for industry
2098,56.9,Installation of equipment,Electricity supply,Standard tariffs
1635,93.6,Energy supply,Water supply,Discounted rates
868,59.4,Consulting,Gas supply,Economy tariffs
2990,88.8,Repair,Drainage,Standard tariffs
2597,55.2,Repair,Electricity supply,Economy tariffs
3136,52.1,Servicing,Electricity supply,Combined tariffs
3131,81.4,Repair,Heating,Combined tariffs
734,95.3,Consulting,Water supply,Economy tariffs
2631,56.0,Energy supply,Water supply,Tariffs for industry
3982,74.7,Consulting,Heating,Tariffs for industry
3920,62.5,Consulting,Drainage,Economy tariffs
556,78.1,Installation of equipment,Drainage,Individual tariffs
1640,86.5,Servicing,Heating,Combined tariffs
3084,74.7,Consulting,Water supply,Preferential tariffs
3339,61.3,Consulting,Water supply,Preferential tariffs
2746,66.7,Installation of equipment,Heating,Tariffs for industry
2890,57.3,Energy supply,Electricity supply,Tariffs for industry
3381,50.4,Consulting,Heating,Economy tariffs
1779,81.5,Consulting,Electricity supply,Tariffs for industry
1193,70.1,Consulting,Water supply,Economy tariffs
3166,61.0,Repair,Drainage,Preferential tariffs
2995,62.9,Repair,Heating,Standard tariffs
2475,91.3,Energy supply,Electricity supply,Economy tariffs
613,63.2,Repair,Drainage,Discounted rates
1651,82.3,Energy supply,Water supply,Tariffs for industry
1859,99.2,Servicing,Gas supply,Tariffs for industry
821,73.1,Energy supply,Heating,Combined tariffs
1981,61.0,Servicing,Drainage,Preferential tariffs
2229,56.7,Servicing,Gas supply,Preferential tariffs
59,84.2,Installation of equipment,Gas supply,Discounted rates
1687,67.7,Repair,Heating,Tariffs for industry
2727,79.6,Installation of equipment,Gas supply,Economy tariffs
3823,87.3,Installation of equipment,Electricity supply,Tariffs for industry
1080,79.9,Installation of equipment,Heating,Economy tariffs
2905,54.7,Installation of equipment,Drainage,Preferential tariffs
2074,60.0,Installation of equipment,Heating,Individual tariffs
3841,57.2,Repair,Water supply,Discounted rates
608,93.7,Energy supply,Heating,Preferential tariffs
1181,96.4,Servicing,Drainage,Economy tariffs
1552,50.4,Energy supply,Electricity supply,Individual tariffs
1015,51.7,Installation of equipment,Water supply,Tariffs for industry
2047,66.8,Energy supply,Water supply,Individual tariffs
2128,52.3,Installation of equipment,Heating,Individual tariffs
1565,56.8,Servicing,Electricity supply,Discounted rates
1590,64.4,Energy supply,Gas supply,Economy tariffs
579,50.5,Servicing,Water supply,Preferential tariffs
1612,64.7,Servicing,Heating,Individual tariffs
3391,73.6,Installation of equipment,Electricity supply,Tariffs for industry
2865,80.1,Servicing,Electricity supply,Individual tariffs
264,74.7,Consulting,Heating,Economy tariffs
3860,80.7,Consulting,Drainage,Preferential tariffs
2597,70.2,Servicing,Water supply,Individual tariffs
3163,74.2,Energy supply,Water supply,Tariffs for industry
3382,84.3,Repair,Heating,Tariffs for industry
256,77.8,Servicing,Gas supply,Combined tariffs
3968,73.0,Consulting,Drainage,Economy tariffs
1589,98.1,Energy supply,Water supply,Standard tariffs
834,93.9,Repair,Water supply,Combined tariffs
3348,98.5,Servicing,Gas supply,Economy tariffs
2522,57.9,Servicing,Water supply,Discounted rates
1530,58.3,Installation of equipment,Drainage,Combined tariffs
2021,94.5,Installation of equipment,Gas supply,Tariffs for industry
3180,81.0,Repair,Gas supply,Standard tariffs
3270,77.3,Consulting,Heating,Individual tariffs
230,64.8,Servicing,Gas supply,Combined tariffs
47,69.4,Energy supply,Heating,Economy tariffs
1133,87.9,Consulting,Gas supply,Individual tariffs
110,99.3,Energy supply,Electricity supply,Individual tariffs
141,64.5,Repair,Gas supply,Combined tariffs
172,93.1,Installation of equipment,Heating,Preferential tariffs
3094,96.3,Servicing,Electricity supply,Tariffs for industry
549,64.5,Consulting,Drainage,Standard tariffs
2145,68.3,Repair,Gas supply,Individual tariffs
1507,53.3,Consulting,Electricity supply,Tariffs for industry
1518,97.6,Energy supply,Electricity supply,Tariffs for industry
2487,64.7,Servicing,Water supply,Preferential tariffs
1501,79.3,Energy supply,Heating,Combined tariffs
2264,53.4,Installation of equipment,Water supply,Discounted rates
805,59.9,Energy supply,Electricity supply,Discounted rates
1166,91.1,Consulting,Heating,Standard tariffs
2323,78.1,Repair,Electricity supply,Combined tariffs
506,56.8,Consulting,Gas supply,Tariffs for industry
3066,55.5,Installation of equipment,Water supply,Economy tariffs
1941,85.4,Installation of equipment,Drainage,Discounted rates
100,66.0,Energy supply,Electricity supply,Individual tariffs
2194,66.5,Servicing,Drainage,Individual tariffs
758,98.5,Installation of equipment,Water supply,Combined tariffs
3129,77.7,Installation of equipment,Heating,Tariffs for industry
3713,93.1,Consulting,Drainage,Standard tariffs
555,54.9,Energy supply,Drainage,Combined tariffs
1626,64.1,Consulting,Water supply,Combined tariffs
1461,62.8,Repair,Drainage,Discounted rates
2071,96.3,Consulting,Electricity supply,Discounted rates
3523,82.0,Consulting,Water supply,Preferential tariffs
237,76.7,Installation of equipment,Gas supply,Economy tariffs
3312,80.5,Installation of equipment,Electricity supply,Tariffs for industry
3843,64.0,Installation of equipment,Heating,Standard tariffs
481,69.4,Consulting,Water supply,Individual tariffs
3074,88.5,Installation of equipment,Drainage,Economy tariffs
1012,74.8,Servicing,Gas supply,Standard tariffs
3450,64.2,Installation of equipment,Drainage,Individual tariffs
3184,90.6,Energy supply,Gas supply,Standard tariffs
2814,97.2,Consulting,Drainage,Combined tariffs
3162,81.2,Repair,Heating,Preferential tariffs
1416,70.4,Installation of equipment,Electricity supply,Preferential tariffs
1359,87.4,Consulting,Drainage,Tariffs for industry
2018,77.3,Repair,Water supply,Discounted rates
842,91.7,Installation of equipment,Water supply,Combined tariffs
12,96.9,Consulting,Drainage,Tariffs for industry
753,72.5,Servicing,Heating,Discounted rates
873,70.2,Consulting,Electricity supply,Economy tariffs
1364,96.6,Consulting,Drainage,Discounted rates
2949,80.2,Consulting,Electricity supply,Tariffs for industry
1471,91.8,Repair,Electricity supply,Combined tariffs
3234,78.6,Repair,Electricity supply,Tariffs for industry
3972,65.5,Repair,Electricity supply,Individual tariffs
3137,83.1,Installation of equipment,Water supply,Discounted rates
2,92.5,Installation of equipment,Gas supply,Individual tariffs
497,63.1,Energy supply,Heating,Combined tariffs
2015,77.7,Energy supply,Gas supply,Discounted rates
2741,79.9,Consulting,Drainage,Tariffs for industry
3445,89.1,Installation of equipment,Gas supply,Combined tariffs
2604,95.6,Energy supply,Drainage,Preferential tariffs
2256,59.1,Energy supply,Drainage,Combined tariffs
2038,96.7,Repair,Drainage,Tariffs for industry
2520,69.7,Repair,Drainage,Discounted rates
3127,86.1,Installation of equipment,Drainage,Combined tariffs
2206,65.5,Installation of equipment,Drainage,Economy tariffs
1379,55.2,Consulting,Drainage,Individual tariffs
3311,53.9,Energy supply,Electricity supply,Preferential tariffs
2776,76.3,Consulting,Gas supply,Combined tariffs
3309,93.4,Installation of equipment,Electricity supply,Economy tariffs
2170,77.7,Energy supply,Heating,Combined tariffs
2283,56.1,Repair,Electricity supply,Economy tariffs
1370,94.3,Repair,Electricity supply,Discounted rates
1267,55.0,Servicing,Heating,Combined tariffs
2996,62.0,Repair,Drainage,Discounted rates
2588,80.5,Consulting,Heating,Standard tariffs
1490,60.1,Installation of equipment,Electricity supply,Combined tariffs
622,58.4,Repair,Electricity supply,Individual tariffs
174,72.7,Installation of equipment,Heating,Combined tariffs
62,62.2,Installation of equipment,Gas supply,Individual tariffs
1609,96.9,Consulting,Electricity supply,Individual tariffs
2853,91.1,Servicing,Heating,Economy tariffs
1889,68.8,Energy supply,Electricity supply,Individual tariffs
1397,51.9,Energy supply,Gas supply,Combined tariffs
1259,99.1,Repair,Electricity supply,Discounted rates
2715,89.6,Repair,Gas supply,Discounted rates
569,94.5,Consulting,Gas supply,Tariffs for industry
1502,80.0,Repair,Drainage,Standard tariffs
1900,65.8,Installation of equipment,Gas supply,Tariffs for industry
1083,97.7,Energy supply,Heating,Discounted rates
1949,51.3,Installation of equipment,Drainage,Individual tariffs
1402,88.3,Installation of equipment,Electricity supply,Tariffs for industry
1498,87.1,Energy supply,Water supply,Tariffs for industry
3468,99.8,Consulting,Electricity supply,Individual tariffs
3196,61.3,Consulting,Water supply,Tariffs for industry
3595,73.5,Consulting,Water supply,Individual tariffs
1419,80.7,Consulting,Water supply,Standard tariffs
2868,59.0,Installation of equipment,Drainage,Preferential tariffs
3110,94.8,Installation of equipment,Heating,Tariffs for industry
2733,52.2,Energy supply,Heating,Standard tariffs
1351,63.5,Repair,Gas supply,Economy tariffs
350,66.3,Energy supply,Heating,Tariffs for industry
136,95.5,Servicing,Drainage,Discounted rates
446,86.6,Consulting,Drainage,Preferential tariffs
3475,78.5,Energy supply,Gas supply,Standard tariffs
2523,50.0,Installation of equipment,Electricity supply,Standard tariffs
671,97.3,Consulting,Heating,Tariffs for industry
1967,66.6,Energy supply,Gas supply,Tariffs for industry
2451,78.0,Energy supply,Electricity supply,Combined tariffs
1132,52.1,Repair,Electricity supply,Tariffs for industry
2148,55.1,Consulting,Electricity supply,Preferential tariffs
1777,72.0,Servicing,Electricity supply,Preferential tariffs
1848,73.9,Energy supply,Drainage,Combined tariffs
2541,52.1,Energy supply,Electricity supply,Standard tariffs
2017,82.1,Energy supply,Drainage,Combined tariffs
843,76.4,Repair,Electricity supply,Tariffs for industry
3528,63.3,Consulting,Electricity supply,Preferential tariffs
2800,89.7,Consulting,Gas supply,Preferential tariffs
1851,50.3,Repair,Electricity supply,Individual tariffs
2970,92.8,Consulting,Water supply,Combined tariffs
3854,84.9,Energy supply,Water supply,Combined tariffs
1332,89.0,Servicing,Drainage,Standard tariffs
506,97.7,Consulting,Water supply,Standard tariffs
2840,89.1,Consulting,Drainage,Standard tariffs
1347,66.3,Repair,Electricity supply,Preferential tariffs
3573,74.4,Installation of equipment,Drainage,Preferential tariffs
3187,79.7,Servicing,Drainage,Individual tariffs
3924,67.1,Repair,Water supply,Tariffs for industry
1316,75.3,Consulting,Drainage,Individual tariffs
525,63.6,Servicing,Heating,Individual tariffs
600,60.3,Repair,Gas supply,Individual tariffs
631,50.6,Energy supply,Water supply,Individual tariffs
3562,58.3,Repair,Electricity supply,Individual tariffs
3087,82.5,Installation of equipment,Heating,Standard tariffs
3243,80.0,Repair,Gas supply,Combined tariffs
1942,78.2,Consulting,Water supply,Economy tariffs
3013,86.6,Servicing,Gas supply,Discounted rates
1898,58.6,Installation of equipment,Drainage,Discounted rates
554,77.5,Servicing,Heating,Standard tariffs
479,72.3,Energy supply,Gas supply,Tariffs for industry
378,73.8,Installation of equipment,Gas supply,Discounted rates
3539,98.6,Consulting,Electricity supply,Tariffs for industry
569,64.9,Repair,Water supply,Standard tariffs
1052,74.6,Energy supply,Water supply,Combined tariffs
3960,53.8,Repair,Gas supply,Individual tariffs
3980,64.3,Repair,Heating,Tariffs for industry
865,65.3,Consulting,Gas supply,Standard tariffs
2487,70.0,Consulting,Drainage,Preferential tariffs
3521,60.6,Energy supply,Gas supply,Standard tariffs
2026,84.1,Consulting,Gas supply,Discounted rates
2021,60.1,Consulting,Gas supply,Individual tariffs
1089,68.0,Installation of equipment,Drainage,Tariffs for industry
3269,62.2,Energy supply,Electricity supply,Economy tariffs
2745,91.0,Servicing,Drainage,Economy tariffs
2562,86.2,Servicing,Water supply,Discounted rates
933,84.8,Energy supply,Water supply,Economy tariffs
343,67.1,Repair,Electricity supply,Individual tariffs
2694,99.0,Installation of equipment,Heating,Tariffs for industry
2824,65.5,Energy supply,Drainage,Standard tariffs
3166,54.3,Servicing,Heating,Combined tariffs
3210,61.0,Installation of equipment,Electricity supply,Economy tariffs
2813,50.2,Installation of equipment,Gas supply,Discounted rates
1985,75.2,Servicing,Drainage,Tariffs for industry
3974,59.4,Installation of equipment,Water supply,Preferential tariffs
65,97.7,Energy supply,Gas supply,Standard tariffs
3535,71.0,Energy supply,Gas supply,Standard tariffs
3733,52.8,Energy supply,Gas supply,Combined tariffs
376,96.4,Servicing,Heating,Economy tariffs
1839,83.0,Servicing,Water supply,Discounted rates
2486,90.6,Servicing,Gas supply,Individual tariffs
3494,58.8,Energy supply,Electricity supply,Economy tariffs
1147,75.2,Energy supply,Gas supply,Economy tariffs
1732,76.0,Servicing,Drainage,Preferential tariffs
2468,94.4,Energy supply,Electricity supply,Economy tariffs
3311,80.0,Installation of equipment,Drainage,Tariffs for industry
3207,53.6,Servicing,Water supply,Discounted rates
1079,62.6,Consulting,Heating,Discounted rates
3639,87.2,Repair,Heating,Tariffs for industry
3499,91.8,Consulting,Heating,Combined tariffs
1398,71.9,Servicing,Electricity supply,Economy tariffs
1311,50.4,Installation of equipment,Drainage,Standard tariffs
3747,89.6,Repair,Drainage,Combined tariffs
922,61.3,Consulting,Heating,Tariffs for industry
3823,96.0,Consulting,Drainage,Combined tariffs
2321,68.9,Installation of equipment,Drainage,Economy tariffs
3304,71.3,Servicing,Water supply,Economy tariffs
2572,62.7,Installation of equipment,Electricity supply,Preferential tariffs
1656,57.6,Servicing,Water supply,Discounted rates
1020,64.3,Installation of equipment,Gas supply,Standard tariffs
3062,59.8,Energy supply,Electricity supply,Economy tariffs
3025,75.0,Energy supply,Water supply,Preferential tariffs
1453,68.0,Installation of equipment,Heating,Standard tariffs
1231,60.8,Consulting,Heating,Individual tariffs
2048,92.3,Energy supply,Water supply,Discounted rates
3699,57.5,Consulting,Water supply,Economy tariffs
3888,74.4,Repair,Water supply,Economy tariffs
1190,95.5,Installation of equipment,Electricity supply,Combined tariffs
3261,96.6,Repair,Water supply,Individual tariffs
2235,72.5,Repair,Electricity supply,Combined tariffs
1711,71.6,Installation of equipment,Electricity supply,Preferential tariffs
35,72.3,Repair,Gas supply,Tariffs for industry
479,74.5,Repair,Electricity supply,Individual tariffs
2424,76.3,Consulting,Electricity supply,Preferential tariffs
3002,93.8,Energy supply,Drainage,Tariffs for industry
3934,68.2,Consulting,Water supply,Tariffs for industry
1094,77.4,Repair,Heating,Tariffs for industry
269,53.1,Repair,Water supply,Combined tariffs
382,54.7,Energy supply,Gas supply,Discounted rates
3581,50.1,Installation of equipment,Electricity supply,Preferential tariffs
3928,73.1,Consulting,Water supply,Tariffs for industry
868,94.4,Installation of equipment,Electricity supply,Standard tariffs
2641,68.6,Repair,Water supply,Tariffs for industry
3319,51.5,Servicing,Gas supply,Preferential tariffs
682,70.5,Energy supply,Water supply,Individual tariffs
3922,82.7,Repair,Electricity supply,Combined tariffs
479,81.8,Repair,Gas supply,Discounted rates
2249,67.4,Energy supply,Electricity supply,Discounted rates
1547,80.4,Consulting,Water supply,Combined tariffs
2675,91.6,Installation of equipment,Electricity supply,Standard tariffs
512,69.5,Energy supply,Gas supply,Economy tariffs
3662,75.1,Installation of equipment,Gas supply,Discounted rates
702,52.3,Servicing,Water supply,Individual tariffs
2764,97.5,Servicing,Drainage,Combined tariffs
1085,98.2,Servicing,Drainage,Standard tariffs
1092,64.4,Energy supply,Water supply,Tariffs for industry
150,89.0,Consulting,Drainage,Standard tariffs
1339,85.3,Energy supply,Drainage,Tariffs for industry
93,84.8,Consulting,Gas supply,Economy tariffs
544,97.2,Repair,Heating,Preferential tariffs
3829,72.2,Energy supply,Heating,Individual tariffs
512,73.3,Repair,Drainage,Standard tariffs
3926,96.2,Consulting,Electricity supply,Discounted rates
2355,63.5,Installation of equipment,Electricity supply,Combined tariffs
1032,61.1,Servicing,Electricity supply,Discounted rates
1617,79.7,Consulting,Drainage,Tariffs for industry
1584,73.4,Installation of equipment,Gas supply,Combined tariffs
673,89.5,Servicing,Drainage,Standard tariffs
3488,66.4,Servicing,Heating,Discounted rates
3532,87.4,Servicing,Water supply,Preferential tariffs
1506,97.2,Servicing,Heating,Discounted rates
3566,52.6,Servicing,Heating,Individual tariffs
2501,66.3,Energy supply,Water supply,Combined tariffs
966,70.3,Installation of equipment,Electricity supply,Discounted rates
1095,78.8,Installation of equipment,Gas supply,Economy tariffs
2303,87.8,Servicing,Heating,Combined tariffs
3977,83.6,Installation of equipment,Water supply,Individual tariffs
1056,96.3,Consulting,Gas supply,Individual tariffs
2806,52.0,Consulting,Electricity supply,Standard tariffs
110,99.7,Repair,Water supply,Standard tariffs
1556,72.3,Energy supply,Water supply,Preferential tariffs
2228,63.7,Installation of equipment,Electricity supply,Preferential tariffs
3762,88.0,Servicing,Gas supply,Discounted rates
951,98.9,Installation of equipment,Electricity supply,Discounted rates
3264,64.9,Repair,Electricity supply,Tariffs for industry
3916,80.5,Energy supply,Drainage,Preferential tariffs
2871,61.4,Consulting,Heating,Tariffs for industry
2169,84.4,Repair,Gas supply,Standard tariffs
2766,80.3,Installation of equipment,Gas supply,Economy tariffs
32,55.5,Repair,Drainage,Economy tariffs
2610,82.7,Repair,Gas supply,Tariffs for industry
1565,57.2,Consulting,Electricity supply,Discounted rates
2463,90.2,Servicing,Water supply,Tariffs for industry
3084,86.4,Installation of equipment,Electricity supply,Standard tariffs
3382,61.1,Installation of equipment,Electricity supply,Standard tariffs
1350,91.2,Consulting,Gas supply,Preferential tariffs
2167,68.7,Servicing,Heating,Discounted rates
3064,68.5,Installation of equipment,Drainage,Discounted rates
1703,69.2,Repair,Electricity supply,Individual tariffs
2938,97.7,Installation of equipment,Drainage,Preferential tariffs
1338,56.9,Servicing,Gas supply,Economy tariffs
317,67.6,Servicing,Gas supply,Discounted rates
1240,77.8,Servicing,Water supply,Tariffs for industry
2748,81.2,Servicing,Gas supply,Discounted rates
1161,89.3,Consulting,Water supply,Preferential tariffs
1244,82.9,Consulting,Drainage,Economy tariffs
3032,96.2,Installation of equipment,Drainage,Standard tariffs
975,87.2,Servicing,Water supply,Preferential tariffs
1307,96.0,Installation of equipment,Electricity supply,Combined tariffs
482,74.5,Servicing,Heating,Preferential tariffs
2964,53.8,Repair,Water supply,Economy tariffs
3270,55.3,Repair,Drainage,Discounted rates
2925,63.3,Servicing,Electricity supply,Individual tariffs
1435,94.6,Installation of equipment,Electricity supply,Discounted rates
